0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
BJYCMMYPPRIWHAGKIYRA,,,,10,20,BJYCMMYPPRIWHAGKIYRA,BJYCMMYPPRIWHAGKIYRA,BJYCMMYPPRIWHAGKIYRA,BJYCMMYPPRIWHAGKIYRA,,,,,LABEL,,
RXVSVNWNUMURUOLDSMOH,,,,10,20,RXVSVNWNUMURUOLDSMOH,RXVSVNWNUMURUOLDSMOH,RXVSVNWNUMURUOLDSMOH,RXVSVNWNUMURUOLDSMOH,,,,,LABEL,,
NLAPSRWUOAUCBPLPRXZZ,,,,10,20,NLAPSRWUOAUCBPLPRXZZ,NLAPSRWUOAUCBPLPRXZZ,NLAPSRWUOAUCBPLPRXZZ,NLAPSRWUOAUCBPLPRXZZ,,,,,LABEL,,
ZPCWUZAPMVQWHZDRSIMW,,,,10,20,ZPCWUZAPMVQWHZDRSIMW,ZPCWUZAPMVQWHZDRSIMW,ZPCWUZAPMVQWHZDRSIMW,ZPCWUZAPMVQWHZDRSIMW,,,,,LABEL,,
SWIQHXCYFGSELBOXJRUJ,,,,10,20,SWIQHXCYFGSELBOXJRUJ,SWIQHXCYFGSELBOXJRUJ,SWIQHXCYFGSELBOXJRUJ,SWIQHXCYFGSELBOXJRUJ,,,,,LABEL,,
LOMGOVBXGSOEUNIBMRYG,,,,10,20,LOMGOVBXGSOEUNIBMRYG,LOMGOVBXGSOEUNIBMRYG,LOMGOVBXGSOEUNIBMRYG,LOMGOVBXGSOEUNIBMRYG,,,,,LABEL,,
XJUBDHEBQNZCNZQRRDDA,,,,10,20,XJUBDHEBQNZCNZQRRDDA,XJUBDHEBQNZCNZQRRDDA,XJUBDHEBQNZCNZQRRDDA,XJUBDHEBQNZCNZQRRDDA,,,,,LABEL,,
JIEEYENVHTCNJBDCSKWT,,,,10,20,JIEEYENVHTCNJBDCSKWT,JIEEYENVHTCNJBDCSKWT,JIEEYENVHTCNJBDCSKWT,JIEEYENVHTCNJBDCSKWT,,,,,LABEL,,
WBFVMXQNTFMEPLIUMZLG,,,,10,20,WBFVMXQNTFMEPLIUMZLG,WBFVMXQNTFMEPLIUMZLG,WBFVMXQNTFMEPLIUMZLG,WBFVMXQNTFMEPLIUMZLG,,,,,LABEL,,
BQIQYLPDVUIWFLTFJNVT,,,,10,20,BQIQYLPDVUIWFLTFJNVT,BQIQYLPDVUIWFLTFJNVT,BQIQYLPDVUIWFLTFJNVT,BQIQYLPDVUIWFLTFJNVT,,,,,LABEL,,
TXPPCZXNXRFSXDAZINAQ,,,,10,20,TXPPCZXNXRFSXDAZINAQ,TXPPCZXNXRFSXDAZINAQ,TXPPCZXNXRFSXDAZINAQ,TXPPCZXNXRFSXDAZINAQ,,,,,LABEL,,
LDDAPKKRIIWNGLZOGJFB,,,,10,20,LDDAPKKRIIWNGLZOGJFB,LDDAPKKRIIWNGLZOGJFB,LDDAPKKRIIWNGLZOGJFB,LDDAPKKRIIWNGLZOGJFB,,,,,LABEL,,
HYYKRSMCTKZZHNETYUGK,,,,10,20,HYYKRSMCTKZZHNETYUGK,HYYKRSMCTKZZHNETYUGK,HYYKRSMCTKZZHNETYUGK,HYYKRSMCTKZZHNETYUGK,,,,,LABEL,,
WQEVYIWAJGFSIEUKULIU,,,,10,20,WQEVYIWAJGFSIEUKULIU,WQEVYIWAJGFSIEUKULIU,WQEVYIWAJGFSIEUKULIU,WQEVYIWAJGFSIEUKULIU,,,,,LABEL,,
UGXJLYQQRSFMBXFUXFSM,,,,10,20,UGXJLYQQRSFMBXFUXFSM,UGXJLYQQRSFMBXFUXFSM,UGXJLYQQRSFMBXFUXFSM,UGXJLYQQRSFMBXFUXFSM,,,,,LABEL,,
HBXHFMSEVVKOZELLSNJF,,,,10,20,HBXHFMSEVVKOZELLSNJF,HBXHFMSEVVKOZELLSNJF,HBXHFMSEVVKOZELLSNJF,HBXHFMSEVVKOZELLSNJF,,,,,LABEL,,
KQIFDWIGQHFJTKNPIPKO,,,,10,20,KQIFDWIGQHFJTKNPIPKO,KQIFDWIGQHFJTKNPIPKO,KQIFDWIGQHFJTKNPIPKO,KQIFDWIGQHFJTKNPIPKO,,,,,LABEL,,
AHFJVAWZZJGHTTGFWWEK,,,,10,20,AHFJVAWZZJGHTTGFWWEK,AHFJVAWZZJGHTTGFWWEK,AHFJVAWZZJGHTTGFWWEK,AHFJVAWZZJGHTTGFWWEK,,,,,LABEL,,
IELLZQLTPHROULYOCRKR,,,,10,20,IELLZQLTPHROULYOCRKR,IELLZQLTPHROULYOCRKR,IELLZQLTPHROULYOCRKR,IELLZQLTPHROULYOCRKR,,,,,LABEL,,
HJLZYSWXWYYTCHREIRHD,,,,10,20,HJLZYSWXWYYTCHREIRHD,HJLZYSWXWYYTCHREIRHD,HJLZYSWXWYYTCHREIRHD,HJLZYSWXWYYTCHREIRHD,,,,,LABEL,,
DIXFSSZRZULMRVVVUKIB,,,,10,20,DIXFSSZRZULMRVVVUKIB,DIXFSSZRZULMRVVVUKIB,DIXFSSZRZULMRVVVUKIB,DIXFSSZRZULMRVVVUKIB,,,,,LABEL,,
XVBUZHNQBXEOPBAYBXKM,,,,10,20,XVBUZHNQBXEOPBAYBXKM,XVBUZHNQBXEOPBAYBXKM,XVBUZHNQBXEOPBAYBXKM,XVBUZHNQBXEOPBAYBXKM,,,,,LABEL,,
DDKVOKOWBZCYFSGZNSVG,,,,10,20,DDKVOKOWBZCYFSGZNSVG,DDKVOKOWBZCYFSGZNSVG,DDKVOKOWBZCYFSGZNSVG,DDKVOKOWBZCYFSGZNSVG,,,,,LABEL,,
NNOLIVHCQVPSJJCTVQDB,,,,10,20,NNOLIVHCQVPSJJCTVQDB,NNOLIVHCQVPSJJCTVQDB,NNOLIVHCQVPSJJCTVQDB,NNOLIVHCQVPSJJCTVQDB,,,,,LABEL,,
VIJUWWULBNPWZHTDHCGR,,,,10,20,VIJUWWULBNPWZHTDHCGR,VIJUWWULBNPWZHTDHCGR,VIJUWWULBNPWZHTDHCGR,VIJUWWULBNPWZHTDHCGR,,,,,LABEL,,
KZMMYZJPZCRECSRJSTQO,,,,10,20,KZMMYZJPZCRECSRJSTQO,KZMMYZJPZCRECSRJSTQO,KZMMYZJPZCRECSRJSTQO,KZMMYZJPZCRECSRJSTQO,,,,,LABEL,,
BLUJHUQVEWZWADNUIKMA,,,,10,20,BLUJHUQVEWZWADNUIKMA,BLUJHUQVEWZWADNUIKMA,BLUJHUQVEWZWADNUIKMA,BLUJHUQVEWZWADNUIKMA,,,,,LABEL,,
GEHUEVGYDAXDAAAUCFUS,,,,10,20,GEHUEVGYDAXDAAAUCFUS,GEHUEVGYDAXDAAAUCFUS,GEHUEVGYDAXDAAAUCFUS,GEHUEVGYDAXDAAAUCFUS,,,,,LABEL,,
PVSJHIUUBSXZMYCNXORF,,,,10,20,PVSJHIUUBSXZMYCNXORF,PVSJHIUUBSXZMYCNXORF,PVSJHIUUBSXZMYCNXORF,PVSJHIUUBSXZMYCNXORF,,,,,LABEL,,
EHCYIOSJRPTWVUMKYPGD,,,,10,20,EHCYIOSJRPTWVUMKYPGD,EHCYIOSJRPTWVUMKYPGD,EHCYIOSJRPTWVUMKYPGD,EHCYIOSJRPTWVUMKYPGD,,,,,LABEL,,
WRNIACNCVZFDLTTDJYZM,,,,10,20,WRNIACNCVZFDLTTDJYZM,WRNIACNCVZFDLTTDJYZM,WRNIACNCVZFDLTTDJYZM,WRNIACNCVZFDLTTDJYZM,,,,,LABEL,,
XKXZATVHIBBFZZWMJVBQ,,,,10,20,XKXZATVHIBBFZZWMJVBQ,XKXZATVHIBBFZZWMJVBQ,XKXZATVHIBBFZZWMJVBQ,XKXZATVHIBBFZZWMJVBQ,,,,,LABEL,,
LHPGHYOHBSEMBEZHDVDS,,,,10,20,LHPGHYOHBSEMBEZHDVDS,LHPGHYOHBSEMBEZHDVDS,LHPGHYOHBSEMBEZHDVDS,LHPGHYOHBSEMBEZHDVDS,,,,,LABEL,,
MCGRZGIQYRTORBVDBZUJ,,,,10,20,MCGRZGIQYRTORBVDBZUJ,MCGRZGIQYRTORBVDBZUJ,MCGRZGIQYRTORBVDBZUJ,MCGRZGIQYRTORBVDBZUJ,,,,,LABEL,,
OIXQGBKYYLEDMWYQODQY,,,,10,20,OIXQGBKYYLEDMWYQODQY,OIXQGBKYYLEDMWYQODQY,OIXQGBKYYLEDMWYQODQY,OIXQGBKYYLEDMWYQODQY,,,,,LABEL,,
UXQOMLZDGTEHPNGEFIZP,,,,10,20,UXQOMLZDGTEHPNGEFIZP,UXQOMLZDGTEHPNGEFIZP,UXQOMLZDGTEHPNGEFIZP,UXQOMLZDGTEHPNGEFIZP,,,,,LABEL,,
IZHEVOTJIJCOJPDHXLNQ,,,,10,20,IZHEVOTJIJCOJPDHXLNQ,IZHEVOTJIJCOJPDHXLNQ,IZHEVOTJIJCOJPDHXLNQ,IZHEVOTJIJCOJPDHXLNQ,,,,,LABEL,,
IWFLIKFGJQFFHGHXPUVM,,,,10,20,IWFLIKFGJQFFHGHXPUVM,IWFLIKFGJQFFHGHXPUVM,IWFLIKFGJQFFHGHXPUVM,IWFLIKFGJQFFHGHXPUVM,,,,,LABEL,,
ZCYMKVWHGORFNALLYHGG,,,,10,20,ZCYMKVWHGORFNALLYHGG,ZCYMKVWHGORFNALLYHGG,ZCYMKVWHGORFNALLYHGG,ZCYMKVWHGORFNALLYHGG,,,,,LABEL,,
WLJIQJCHGDZVCGPXZSUB,,,,10,20,WLJIQJCHGDZVCGPXZSUB,WLJIQJCHGDZVCGPXZSUB,WLJIQJCHGDZVCGPXZSUB,WLJIQJCHGDZVCGPXZSUB,,,,,LABEL,,
SGIQCOBMEGZBYULCRRFV,,,,10,20,SGIQCOBMEGZBYULCRRFV,SGIQCOBMEGZBYULCRRFV,SGIQCOBMEGZBYULCRRFV,SGIQCOBMEGZBYULCRRFV,,,,,LABEL,,
UTRVISPSXYVEYMOKZFIC,,,,10,20,UTRVISPSXYVEYMOKZFIC,UTRVISPSXYVEYMOKZFIC,UTRVISPSXYVEYMOKZFIC,UTRVISPSXYVEYMOKZFIC,,,,,LABEL,,
ZXWDXPEFHZGSSRGUJMVD,,,,10,20,ZXWDXPEFHZGSSRGUJMVD,ZXWDXPEFHZGSSRGUJMVD,ZXWDXPEFHZGSSRGUJMVD,ZXWDXPEFHZGSSRGUJMVD,,,,,LABEL,,
WMCMGXVORMZKHFKLVCUX,,,,10,20,WMCMGXVORMZKHFKLVCUX,WMCMGXVORMZKHFKLVCUX,WMCMGXVORMZKHFKLVCUX,WMCMGXVORMZKHFKLVCUX,,,,,LABEL,,
BKFEGEXDBODFPWNJXJAJ,,,,10,20,BKFEGEXDBODFPWNJXJAJ,BKFEGEXDBODFPWNJXJAJ,BKFEGEXDBODFPWNJXJAJ,BKFEGEXDBODFPWNJXJAJ,,,,,LABEL,,
BWKAZXWYUUKSDDPMUYVB,,,,10,20,BWKAZXWYUUKSDDPMUYVB,BWKAZXWYUUKSDDPMUYVB,BWKAZXWYUUKSDDPMUYVB,BWKAZXWYUUKSDDPMUYVB,,,,,LABEL,,
XMKSDZNKXNRXNSINOKTA,,,,10,20,XMKSDZNKXNRXNSINOKTA,XMKSDZNKXNRXNSINOKTA,XMKSDZNKXNRXNSINOKTA,XMKSDZNKXNRXNSINOKTA,,,,,LABEL,,
KFSBWVUVAODEONYZCBEN,,,,10,20,KFSBWVUVAODEONYZCBEN,KFSBWVUVAODEONYZCBEN,KFSBWVUVAODEONYZCBEN,KFSBWVUVAODEONYZCBEN,,,,,LABEL,,
UAIOZFICXTVMNSSPNHAH,,,,10,20,UAIOZFICXTVMNSSPNHAH,UAIOZFICXTVMNSSPNHAH,UAIOZFICXTVMNSSPNHAH,UAIOZFICXTVMNSSPNHAH,,,,,LABEL,,
OFOVVFSLZVHWOIYNTYPN,,,,10,20,OFOVVFSLZVHWOIYNTYPN,OFOVVFSLZVHWOIYNTYPN,OFOVVFSLZVHWOIYNTYPN,OFOVVFSLZVHWOIYNTYPN,,,,,LABEL,,
FJKXIZIBFRUZNWCHABLQ,,,,10,20,FJKXIZIBFRUZNWCHABLQ,FJKXIZIBFRUZNWCHABLQ,FJKXIZIBFRUZNWCHABLQ,FJKXIZIBFRUZNWCHABLQ,,,,,LABEL,,
LGTDEGTGDPGOCSKYGHBC,,,,10,20,LGTDEGTGDPGOCSKYGHBC,LGTDEGTGDPGOCSKYGHBC,LGTDEGTGDPGOCSKYGHBC,LGTDEGTGDPGOCSKYGHBC,,,,,LABEL,,
QSRBHNUXMHUEMLVEQTVO,,,,10,20,QSRBHNUXMHUEMLVEQTVO,QSRBHNUXMHUEMLVEQTVO,QSRBHNUXMHUEMLVEQTVO,QSRBHNUXMHUEMLVEQTVO,,,,,LABEL,,
JOWWKHXGDFUXTCORYYWV,,,,10,20,JOWWKHXGDFUXTCORYYWV,JOWWKHXGDFUXTCORYYWV,JOWWKHXGDFUXTCORYYWV,JOWWKHXGDFUXTCORYYWV,,,,,LABEL,,
LNHSFWEISGBWPJWXLFFM,,,,10,20,LNHSFWEISGBWPJWXLFFM,LNHSFWEISGBWPJWXLFFM,LNHSFWEISGBWPJWXLFFM,LNHSFWEISGBWPJWXLFFM,,,,,LABEL,,
MNTMWUMZASOQOBKGOBFB,,,,10,20,MNTMWUMZASOQOBKGOBFB,MNTMWUMZASOQOBKGOBFB,MNTMWUMZASOQOBKGOBFB,MNTMWUMZASOQOBKGOBFB,,,,,LABEL,,
UDAUYWMJRCJQUKJGNFOU,,,,10,20,UDAUYWMJRCJQUKJGNFOU,UDAUYWMJRCJQUKJGNFOU,UDAUYWMJRCJQUKJGNFOU,UDAUYWMJRCJQUKJGNFOU,,,,,LABEL,,
JAUSKPMTPRJOHXNAIPEK,,,,10,20,JAUSKPMTPRJOHXNAIPEK,JAUSKPMTPRJOHXNAIPEK,JAUSKPMTPRJOHXNAIPEK,JAUSKPMTPRJOHXNAIPEK,,,,,LABEL,,
SXPTIWHGGNYQVKDFJWOJ,,,,10,20,SXPTIWHGGNYQVKDFJWOJ,SXPTIWHGGNYQVKDFJWOJ,SXPTIWHGGNYQVKDFJWOJ,SXPTIWHGGNYQVKDFJWOJ,,,,,LABEL,,
GNDOQIBUNREDIUYEPNWV,,,,10,20,GNDOQIBUNREDIUYEPNWV,GNDOQIBUNREDIUYEPNWV,GNDOQIBUNREDIUYEPNWV,GNDOQIBUNREDIUYEPNWV,,,,,LABEL,,
LYNVUOQUBXGLOFHDWGQB,,,,10,20,LYNVUOQUBXGLOFHDWGQB,LYNVUOQUBXGLOFHDWGQB,LYNVUOQUBXGLOFHDWGQB,LYNVUOQUBXGLOFHDWGQB,,,,,LABEL,,
AUZIXPBRODWIBEAWMMIQ,,,,10,20,AUZIXPBRODWIBEAWMMIQ,AUZIXPBRODWIBEAWMMIQ,AUZIXPBRODWIBEAWMMIQ,AUZIXPBRODWIBEAWMMIQ,,,,,LABEL,,
EONAQKMVJIJCERWADFRX,,,,10,20,EONAQKMVJIJCERWADFRX,EONAQKMVJIJCERWADFRX,EONAQKMVJIJCERWADFRX,EONAQKMVJIJCERWADFRX,,,,,LABEL,,
KYLFUHXDQTGRMHCVOBMM,,,,10,20,KYLFUHXDQTGRMHCVOBMM,KYLFUHXDQTGRMHCVOBMM,KYLFUHXDQTGRMHCVOBMM,KYLFUHXDQTGRMHCVOBMM,,,,,LABEL,,
HNJNMRPTMGYCAOTGEBDB,,,,10,20,HNJNMRPTMGYCAOTGEBDB,HNJNMRPTMGYCAOTGEBDB,HNJNMRPTMGYCAOTGEBDB,HNJNMRPTMGYCAOTGEBDB,,,,,LABEL,,
WZXKHMAMCOBZZSCMTIUJ,,,,10,20,WZXKHMAMCOBZZSCMTIUJ,WZXKHMAMCOBZZSCMTIUJ,WZXKHMAMCOBZZSCMTIUJ,WZXKHMAMCOBZZSCMTIUJ,,,,,LABEL,,
WGKYPBUVNXNMSQIENILX,,,,10,20,WGKYPBUVNXNMSQIENILX,WGKYPBUVNXNMSQIENILX,WGKYPBUVNXNMSQIENILX,WGKYPBUVNXNMSQIENILX,,,,,LABEL,,
FSTDUZOJMFIPWNKLFVXV,,,,10,20,FSTDUZOJMFIPWNKLFVXV,FSTDUZOJMFIPWNKLFVXV,FSTDUZOJMFIPWNKLFVXV,FSTDUZOJMFIPWNKLFVXV,,,,,LABEL,,
EOJACNALJSGBKXMIROHX,,,,10,20,EOJACNALJSGBKXMIROHX,EOJACNALJSGBKXMIROHX,EOJACNALJSGBKXMIROHX,EOJACNALJSGBKXMIROHX,,,,,LABEL,,
BYCQFBOYFIBFSIEWCKDJ,,,,10,20,BYCQFBOYFIBFSIEWCKDJ,BYCQFBOYFIBFSIEWCKDJ,BYCQFBOYFIBFSIEWCKDJ,BYCQFBOYFIBFSIEWCKDJ,,,,,LABEL,,
UBJMQNDWLDFTABLPTINS,,,,10,20,UBJMQNDWLDFTABLPTINS,UBJMQNDWLDFTABLPTINS,UBJMQNDWLDFTABLPTINS,UBJMQNDWLDFTABLPTINS,,,,,LABEL,,
NPQSWNXAKYWPDFZOOIUS,,,,10,20,NPQSWNXAKYWPDFZOOIUS,NPQSWNXAKYWPDFZOOIUS,NPQSWNXAKYWPDFZOOIUS,NPQSWNXAKYWPDFZOOIUS,,,,,LABEL,,
XKJAZZLXFYLXBVYHRSDI,,,,10,20,XKJAZZLXFYLXBVYHRSDI,XKJAZZLXFYLXBVYHRSDI,XKJAZZLXFYLXBVYHRSDI,XKJAZZLXFYLXBVYHRSDI,,,,,LABEL,,
