0,1,2
XEJYBGVLBWTLJSXKAOVN,XEJYBGVLBWTLJSXKAOVN,XEJYBGVLBWTLJSXKAOVN
KFYSYPFCGOIXZDACGCPY,KFYSYPFCGOIXZDACGCPY,KFYSYPFCGOIXZDACGCPY
VDHLKSVCYMVYBHLRVAQV,VDHLKSVCYMVYBHLRVAQV,VDHLKSVCYMVYBHLRVAQV
SESPUCQPUHAXDARBLVWE,SESPUCQPUHAXDARBLVWE,SESPUCQPUHAXDARBLVWE
EOFWWBWXQLKBWZEHUAAY,EOFWWBWXQLKBWZEHUAAY,EOFWWBWXQLKBWZEHUAAY
QUMOVVQEPFYLXDMWZPWM,QUMOVVQEPFYLXDMWZPWM,QUMOVVQEPFYLXDMWZPWM
NITUDGIGZBIQMUGXBHPN,NITUDGIGZBIQMUGXBHPN,NITUDGIGZBIQMUGXBHPN
OELJXNWQATEECGXJBTMP,OELJXNWQATEECGXJBTMP,OELJXNWQATEECGXJBTMP
BJYCMMYPPRIWHAGKIYRA,BJYCMMYPPRIWHAGKIYRA,BJYCMMYPPRIWHAGKIYRA
RXVSVNWNUMURUOLDSMOH,RXVSVNWNUMURUOLDSMOH,RXVSVNWNUMURUOLDSMOH
NLAPSRWUOAUCBPLPRXZZ,NLAPSRWUOAUCBPLPRXZZ,NLAPSRWUOAUCBPLPRXZZ
ZPCWUZAPMVQWHZDRSIMW,ZPCWUZAPMVQWHZDRSIMW,ZPCWUZAPMVQWHZDRSIMW
SWIQHXCYFGSELBOXJRUJ,SWIQHXCYFGSELBOXJRUJ,SWIQHXCYFGSELBOXJRUJ
LOMGOVBXGSOEUNIBMRYG,LOMGOVBXGSOEUNIBMRYG,LOMGOVBXGSOEUNIBMRYG
XJUBDHEBQNZCNZQRRDDA,XJUBDHEBQNZCNZQRRDDA,XJUBDHEBQNZCNZQRRDDA
JIEEYENVHTCNJBDCSKWT,JIEEYENVHTCNJBDCSKWT,JIEEYENVHTCNJBDCSKWT
WBFVMXQNTFMEPLIUMZLG,WBFVMXQNTFMEPLIUMZLG,WBFVMXQNTFMEPLIUMZLG
BQIQYLPDVUIWFLTFJNVT,BQIQYLPDVUIWFLTFJNVT,BQIQYLPDVUIWFLTFJNVT
TXPPCZXNXRFSXDAZINAQ,TXPPCZXNXRFSXDAZINAQ,TXPPCZXNXRFSXDAZINAQ
LDDAPKKRIIWNGLZOGJFB,LDDAPKKRIIWNGLZOGJFB,LDDAPKKRIIWNGLZOGJFB
HYYKRSMCTKZZHNETYUGK,HYYKRSMCTKZZHNETYUGK,HYYKRSMCTKZZHNETYUGK
WQEVYIWAJGFSIEUKULIU,WQEVYIWAJGFSIEUKULIU,WQEVYIWAJGFSIEUKULIU
UGXJLYQQRSFMBXFUXFSM,UGXJLYQQRSFMBXFUXFSM,UGXJLYQQRSFMBXFUXFSM
HBXHFMSEVVKOZELLSNJF,HBXHFMSEVVKOZELLSNJF,HBXHFMSEVVKOZELLSNJF
KQIFDWIGQHFJTKNPIPKO,KQIFDWIGQHFJTKNPIPKO,KQIFDWIGQHFJTKNPIPKO
AHFJVAWZZJGHTTGFWWEK,AHFJVAWZZJGHTTGFWWEK,AHFJVAWZZJGHTTGFWWEK
IELLZQLTPHROULYOCRKR,IELLZQLTPHROULYOCRKR,IELLZQLTPHROULYOCRKR
HJLZYSWXWYYTCHREIRHD,HJLZYSWXWYYTCHREIRHD,HJLZYSWXWYYTCHREIRHD
DIXFSSZRZULMRVVVUKIB,DIXFSSZRZULMRVVVUKIB,DIXFSSZRZULMRVVVUKIB
XVBUZHNQBXEOPBAYBXKM,XVBUZHNQBXEOPBAYBXKM,XVBUZHNQBXEOPBAYBXKM
DDKVOKOWBZCYFSGZNSVG,DDKVOKOWBZCYFSGZNSVG,DDKVOKOWBZCYFSGZNSVG
NNOLIVHCQVPSJJCTVQDB,NNOLIVHCQVPSJJCTVQDB,NNOLIVHCQVPSJJCTVQDB
VIJUWWULBNPWZHTDHCGR,VIJUWWULBNPWZHTDHCGR,VIJUWWULBNPWZHTDHCGR
KZMMYZJPZCRECSRJSTQO,KZMMYZJPZCRECSRJSTQO,KZMMYZJPZCRECSRJSTQO
BLUJHUQVEWZWADNUIKMA,BLUJHUQVEWZWADNUIKMA,BLUJHUQVEWZWADNUIKMA
GEHUEVGYDAXDAAAUCFUS,GEHUEVGYDAXDAAAUCFUS,GEHUEVGYDAXDAAAUCFUS
PVSJHIUUBSXZMYCNXORF,PVSJHIUUBSXZMYCNXORF,PVSJHIUUBSXZMYCNXORF
EHCYIOSJRPTWVUMKYPGD,EHCYIOSJRPTWVUMKYPGD,EHCYIOSJRPTWVUMKYPGD
WRNIACNCVZFDLTTDJYZM,WRNIACNCVZFDLTTDJYZM,WRNIACNCVZFDLTTDJYZM
XKXZATVHIBBFZZWMJVBQ,XKXZATVHIBBFZZWMJVBQ,XKXZATVHIBBFZZWMJVBQ
LHPGHYOHBSEMBEZHDVDS,LHPGHYOHBSEMBEZHDVDS,LHPGHYOHBSEMBEZHDVDS
MCGRZGIQYRTORBVDBZUJ,MCGRZGIQYRTORBVDBZUJ,MCGRZGIQYRTORBVDBZUJ
OIXQGBKYYLEDMWYQODQY,OIXQGBKYYLEDMWYQODQY,OIXQGBKYYLEDMWYQODQY
UXQOMLZDGTEHPNGEFIZP,UXQOMLZDGTEHPNGEFIZP,UXQOMLZDGTEHPNGEFIZP
IZHEVOTJIJCOJPDHXLNQ,IZHEVOTJIJCOJPDHXLNQ,IZHEVOTJIJCOJPDHXLNQ
IWFLIKFGJQFFHGHXPUVM,IWFLIKFGJQFFHGHXPUVM,IWFLIKFGJQFFHGHXPUVM
ZCYMKVWHGORFNALLYHGG,ZCYMKVWHGORFNALLYHGG,ZCYMKVWHGORFNALLYHGG
WLJIQJCHGDZVCGPXZSUB,WLJIQJCHGDZVCGPXZSUB,WLJIQJCHGDZVCGPXZSUB
SGIQCOBMEGZBYULCRRFV,SGIQCOBMEGZBYULCRRFV,SGIQCOBMEGZBYULCRRFV
UTRVISPSXYVEYMOKZFIC,UTRVISPSXYVEYMOKZFIC,UTRVISPSXYVEYMOKZFIC
ZXWDXPEFHZGSSRGUJMVD,ZXWDXPEFHZGSSRGUJMVD,ZXWDXPEFHZGSSRGUJMVD
WMCMGXVORMZKHFKLVCUX,WMCMGXVORMZKHFKLVCUX,WMCMGXVORMZKHFKLVCUX
BKFEGEXDBODFPWNJXJAJ,BKFEGEXDBODFPWNJXJAJ,BKFEGEXDBODFPWNJXJAJ
BWKAZXWYUUKSDDPMUYVB,BWKAZXWYUUKSDDPMUYVB,BWKAZXWYUUKSDDPMUYVB
XMKSDZNKXNRXNSINOKTA,XMKSDZNKXNRXNSINOKTA,XMKSDZNKXNRXNSINOKTA
KFSBWVUVAODEONYZCBEN,KFSBWVUVAODEONYZCBEN,KFSBWVUVAODEONYZCBEN
UAIOZFICXTVMNSSPNHAH,UAIOZFICXTVMNSSPNHAH,UAIOZFICXTVMNSSPNHAH
OFOVVFSLZVHWOIYNTYPN,OFOVVFSLZVHWOIYNTYPN,OFOVVFSLZVHWOIYNTYPN
FJKXIZIBFRUZNWCHABLQ,FJKXIZIBFRUZNWCHABLQ,FJKXIZIBFRUZNWCHABLQ
LGTDEGTGDPGOCSKYGHBC,LGTDEGTGDPGOCSKYGHBC,LGTDEGTGDPGOCSKYGHBC
QSRBHNUXMHUEMLVEQTVO,QSRBHNUXMHUEMLVEQTVO,QSRBHNUXMHUEMLVEQTVO
JOWWKHXGDFUXTCORYYWV,JOWWKHXGDFUXTCORYYWV,JOWWKHXGDFUXTCORYYWV
LNHSFWEISGBWPJWXLFFM,LNHSFWEISGBWPJWXLFFM,LNHSFWEISGBWPJWXLFFM
MNTMWUMZASOQOBKGOBFB,MNTMWUMZASOQOBKGOBFB,MNTMWUMZASOQOBKGOBFB
UDAUYWMJRCJQUKJGNFOU,UDAUYWMJRCJQUKJGNFOU,UDAUYWMJRCJQUKJGNFOU
JAUSKPMTPRJOHXNAIPEK,JAUSKPMTPRJOHXNAIPEK,JAUSKPMTPRJOHXNAIPEK
SXPTIWHGGNYQVKDFJWOJ,SXPTIWHGGNYQVKDFJWOJ,SXPTIWHGGNYQVKDFJWOJ
GNDOQIBUNREDIUYEPNWV,GNDOQIBUNREDIUYEPNWV,GNDOQIBUNREDIUYEPNWV
LYNVUOQUBXGLOFHDWGQB,LYNVUOQUBXGLOFHDWGQB,LYNVUOQUBXGLOFHDWGQB
AUZIXPBRODWIBEAWMMIQ,AUZIXPBRODWIBEAWMMIQ,AUZIXPBRODWIBEAWMMIQ
EONAQKMVJIJCERWADFRX,EONAQKMVJIJCERWADFRX,EONAQKMVJIJCERWADFRX
KYLFUHXDQTGRMHCVOBMM,KYLFUHXDQTGRMHCVOBMM,KYLFUHXDQTGRMHCVOBMM
HNJNMRPTMGYCAOTGEBDB,HNJNMRPTMGYCAOTGEBDB,HNJNMRPTMGYCAOTGEBDB
WZXKHMAMCOBZZSCMTIUJ,WZXKHMAMCOBZZSCMTIUJ,WZXKHMAMCOBZZSCMTIUJ
WGKYPBUVNXNMSQIENILX,WGKYPBUVNXNMSQIENILX,WGKYPBUVNXNMSQIENILX
FSTDUZOJMFIPWNKLFVXV,FSTDUZOJMFIPWNKLFVXV,FSTDUZOJMFIPWNKLFVXV
EOJACNALJSGBKXMIROHX,EOJACNALJSGBKXMIROHX,EOJACNALJSGBKXMIROHX
BYCQFBOYFIBFSIEWCKDJ,BYCQFBOYFIBFSIEWCKDJ,BYCQFBOYFIBFSIEWCKDJ
UBJMQNDWLDFTABLPTINS,UBJMQNDWLDFTABLPTINS,UBJMQNDWLDFTABLPTINS
NPQSWNXAKYWPDFZOOIUS,NPQSWNXAKYWPDFZOOIUS,NPQSWNXAKYWPDFZOOIUS
XKJAZZLXFYLXBVYHRSDI,XKJAZZLXFYLXBVYHRSDI,XKJAZZLXFYLXBVYHRSDI
